xflr5 v6.48

 Calculated polar for: FX 63-137 13.7% smoothed

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.064     Re =     0.350 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-20.000,-0.4405, 0.22744, 0.22414,-0.0162,1.0000,0.0146,-1.4796, 0.0000, 0.1817
-19.500,-0.4250, 0.22197, 0.21869,-0.0190,1.0000,0.0152,-1.4716, 0.0000, 0.1740
-19.000,-0.4100, 0.21611, 0.21284,-0.0219,1.0000,0.0158,-1.5162, 0.0000, 0.1652
-18.500,-0.3974, 0.21006, 0.20681,-0.0254,1.0000,0.0160,-1.6293, 0.0000, 0.1550
-18.000,-0.3808, 0.20486, 0.20164,-0.0267,1.0000,0.0163,-1.5136, 0.0000, 0.1488
-17.500,-0.3658, 0.19972, 0.19652,-0.0287,1.0000,0.0169,-1.4711, 0.0000, 0.1406
-17.000,-0.3518, 0.19423, 0.19106,-0.0307,1.0000,0.0177,-1.4707, 0.0000, 0.1317
-16.500,-0.3395, 0.18820, 0.18505,-0.0332,1.0000,0.0185,-1.5499, 0.0000, 0.1214
-16.000,-0.3297, 0.18201, 0.17891,-0.0357,1.0000,0.0187,-1.6491, 0.0000, 0.1111
-15.500,-0.3148, 0.17695, 0.17387,-0.0362,1.0000,0.0191,-1.5354, 0.0000, 0.1042
-15.000,-0.3026, 0.17177, 0.16873,-0.0373,1.0000,0.0198,-1.4949, 0.0000, 0.0961
-14.500,-0.2923, 0.16622, 0.16322,-0.0385,1.0000,0.0208,-1.4997, 0.0000, 0.0879
 -8.000,-0.0352, 0.06529, 0.06256,-0.1198,0.9320,0.0418,-2.1857, 0.0000,-3.3172
 -7.500, 0.0214, 0.06016, 0.05737,-0.1280,0.9209,0.0441,-1.9314, 0.0000, 6.4867
 -6.500, 0.1233, 0.01899, 0.01334,-0.1921,0.8705,0.0298,-3.1361, 0.0000, 1.8486
 -6.000, 0.1870, 0.01639, 0.01023,-0.1946,0.8561,0.0306,-2.9057, 0.0000, 1.3157
 -5.500, 0.2480, 0.01476, 0.00831,-0.1960,0.8421,0.0329,-2.6113, 0.0000, 1.0580
